Element,Atomic Number,Symbol,Atomic Weight,Group,Phase,Type,"Ionic Radius","Atomic Radius",Electronegativity,First Ionization Potential,"Density","Melting point","Boiling point",# Isotopes,Discoverer,Year,Specific Heat Capacity,Electron Configuration
Hydrogen,1,H,1.007947,1,gas,Nonmetal,0.012,0.79,2.2,13.5984,0.00008988,14.175,20.28,3,Cavendish,1766,14.304,1s1
Helium,2,He,4.0026022,18,gas,Noble Gas,,0.49,,24.5874,0.0001785,,4.22,5,Janssen,1868,5.193,1s2
Lithium,3,Li,6.9412,1,bcc,Alkali Metal,0.76,2.1,0.98,5.3917,0.534,453.85,1615,5,Arfvedson,1817,3.582,[He] 2s1
Beryllium,4,Be,9.0121823,2,hex,Alkaline Earth Metal,0.35,1.4,1.57,9.3227,1.85,1560.15,2742,6,Vaulquelin,1798,1.825,[He] 2s2
Boron,5,B,10.8117,13,rho,Metalloid,0.23,1.2,2.04,8.298,2.34,2573.15,4200,6,Gay-Lussac,1808,1.026,[He] 2s2 2p1
Carbon,6,C,12.01078,14,hex,Nonmetal,,0.91,2.55,11.2603,2.267,3948.15,4300,7,Prehistoric,,0.709,[He] 2s2 2p2
Nitrogen,7,N,14.00672,15,gas,Nonmetal,0.13,0.75,3.04,14.5341,0.0012506,63.29,77.36,8,Rutherford,1772,1.04,[He] 2s2 2p3
Oxygen,8,O,15.99943,16,gas,Nonmetal,1.4,0.65,3.44,13.6181,0.001429,50.5,90.2,8,Priestley/Scheele,1774,0.918,[He] 2s2 2p4
Fluorine,9,F,18.99840325,17,gas,Halogen,1.3,0.57,3.98,17.4228,0.001696,53.63,85.03,6,Moissan,1886,0.824,[He] 2s2 2p5
Neon,10,Ne,20.17976,18,gas,Noble Gas,,0.51,,21.5645,0.0008999,24.703,27.07,8,Ramsay and Travers,1898,1.03,[He] 2s2 2p6
Sodium,11,Na,22.989769282,1,bcc,Alkali Metal,1,2.2,0.93,5.1391,0.971,371.15,1156,7,Davy,1807,1.228,[Ne] 3s1
Magnesium,12,Mg,24.30506,2,hex,Alkaline Earth Metal,0.72,1.7,1.31,7.6462,1.738,923.15,1363,8,Black,1755,1.023,[Ne] 3s2
Aluminum,13,Al,26.98153868,13,fcc,Metal,0.54,1.8,1.61,5.9858,2.698,933.4,2792,8,Wöhler,1827,0.897,[Ne] 3s2 3p1
Silicon,14,Si,28.08553,14,fcc,Metalloid,0.4,1.5,1.9,8.1517,2.3296,1683.15,3538,8,Berzelius,1824,0.705,[Ne] 3s2 3p2
Phosphorus,15,P,30.9737622,15,cub,Nonmetal,0.38,1.2,2.19,10.4867,1.82,317.25,553,7,BranBrand,1669,0.769,[Ne] 3s2 3p3
Sulfur,16,S,32.0655,16,orth,Nonmetal,0.37,1.1,2.58,10.36,2.067,388.51,717.8,10,Prehistoric,,0.71,[Ne] 3s2 3p4
Chlorine,17,Cl,35.4532,17,gas,Halogen,1.8,0.97,3.16,12.9676,0.003214,172.31,239.11,11,Scheele,1774,0.479,[Ne] 3s2 3p5
Argon,18,Ar,39.9481,18,gas,Noble Gas,,0.88,,15.7596,0.0017837,83.96,87.3,8,Rayleigh and Ramsay,1894,0.52,[Ne] 3s2 3p6
Potassium,19,K,39.09831,1,bcc,Alkali Metal,1.4,2.8,0.82,4.3407,0.862,336.5,1032,10,Davy,1807,0.757,[Ar] 4s1
Calcium,20,Ca,40.0784,2,fcc,Alkaline Earth Metal,0.99,2.2,1,6.1132,1.54,1112.15,1757,14,Davy,1808,0.647,[Ar] 4s2
Scandium,21,Sc,44.9559126,3,hex,Transition Metal,0.75,2.1,1.36,6.5615,2.989,1812.15,3109,15,Nilson,1878,0.568,[Ar] 3d1 4s2
Titanium,22,Ti,47.8671,4,hex,Transition Metal,0.61,2,1.54,6.8281,4.54,1933.15,3560,9,Gregor,1791,0.523,[Ar] 3d2 4s2
Vanadium,23,V,50.94151,5,bcc,Transition Metal,0.59,1.9,1.63,6.7462,6.11,2175.15,3680,9, del Rio,1801,0.489,[Ar] 3d3 4s2
Chromium,24,Cr,51.99616,6,bcc,Transition Metal,0.52,1.9,1.66,6.7665,7.15,2130.15,2944,9,Vauquelin,1797,0.449,[Ar] 3d5 4s1
Manganese,25,Mn,54.9380455,7,bcc,Transition Metal,0.46,1.8,1.55,7.434,7.44,1519.15,2334,11,"Gahn, Scheele",1774,0.479,[Ar] 3d5 4s2
Iron,26,Fe,55.8452,8,bcc,Transition Metal,0.65,1.7,1.83,7.9024,7.874,1808.15,3134,10,Prehistoric,,0.449,[Ar] 3d6 4s2
Cobalt,27,Co,58.9331955,9,hex,Transition Metal,0.75,1.7,1.88,7.881,8.86,1768.15,3200,14,Brandt,1735,0.421,[Ar] 3d7 4s2
Nickel,28,Ni,58.69344,10,fcc,Transition Metal,0.69,1.6,1.91,7.6398,8.912,1726.15,3186,11,Cronstedt,1751,0.444,[Ar] 3d8 4s2
Copper,29,Cu,63.5463,11,fcc,Transition Metal,0.73,1.6,1.9,7.7264,8.96,1357.75,2835,11,Prehistoric,,0.385,[Ar] 3d10 4s1
Zinc,30,Zn,65.382,12,hex,Transition Metal,0.74,1.5,1.65,9.3942,7.134,692.88,1180,15,Prehistoric,,0.388,[Ar] 3d10 4s2
Gallium,31,Ga,69.7231,13,orth,Metal,0.62,1.8,1.81,5.9993,5.907,302.91,2477,14,de Boisbaudran,1875,0.371,[Ar] 3d10 4s2 4p1
Germanium,32,Ge,72.641,14,fcc,Metalloid,0.53,1.5,2.01,7.8994,5.323,1211.45,3106,17,Winkler,1886,0.32,[Ar] 3d10 4s2 4p2
Arsenic,33,As,74.921602,15,rho,Metalloid,0.58,1.3,2.18,9.7886,5.776,1090.15,887,14,Albertus Magnus,1250,0.329,[Ar] 3d10 4s2 4p3
Selenium,34,Se,78.963,16,hex,Nonmetal,0.5,1.2,2.55,9.7524,4.809,494.15,958,20,Berzelius,1817,0.321,[Ar] 3d10 4s2 4p4
Bromine,35,Br,79.9041,17,liq,Halogen,2,1.1,2.96,11.8138,3.122,266.05,332,19,Balard,1826,0.474,[Ar] 3d10 4s2 4p5
Krypton,36,Kr,83.7982,18,gas,Noble Gas,,1,,13.9996,0.003733,115.93,119.93,23,Ramsay and Travers,1898,0.248,[Ar] 3d10 4s2 4p6
Rubidium,37,Rb,85.46783,1,bcc,Alkali Metal,1.5,3,0.82,4.1771,1.532,312.79,961,20,Bunsen and Kirchoff,1861,0.363,[Kr] 5s1
Strontium,38,Sr,87.621,2,fcc,Alkaline Earth Metal,1.1,2.5,0.95,5.6949,2.64,1042.15,1655,18,Davy,1808,0.301,[Kr] 5s2
Yttrium,39,Y,88.905852,3,hex,Transition Metal,0.9,2.3,1.22,6.2173,4.469,1799.15,3609,21,Gadolin,1794,0.298,[Kr] 4d1 5s2
Zirconium,40,Zr,91.2242,4,hex,Transition Metal,0.72,2.2,1.33,6.6339,6.506,2125.15,4682,20,Klaproth,1789,0.278,[Kr] 4d2 5s2
Niobium,41,Nb,92.906382,5,bcc,Transition Metal,0.69,2.1,1.6,6.7589,8.57,2741.15,5017,24,Hatchett,1801,0.265,[Kr] 4d4 5s1
Molybdenum,42,Mo,95.962,6,bcc,Transition Metal,0.65,2,2.16,7.0924,10.22,2890.15,4912,20,Scheele,1778,0.251,[Kr] 4d5 5s1
Technetium,43,Tc,98,7,hex,Transition Metal,0.56,2,1.9,7.28,11.5,2473.15,5150,23,Perrier and Segré,1937,,[Kr] 4d5 5s2
Ruthenium,44,Ru,101.072,8,hex,Transition Metal,0.68,1.9,2.2,7.3605,12.37,2523.15,4423,16,Klaus,1844,0.238,[Kr] 4d7 5s1
Rhodium,45,Rh,102.905502,9,fcc,Transition Metal,0.68,1.8,2.28,7.4589,12.41,2239.15,3968,20,Wollaston,1803,0.243,[Kr] 4d8 5s1
Palladium,46,Pd,106.421,10,fcc,Transition Metal,0.86,1.8,2.2,8.3369,12.02,1825.15,3236,21,Wollaston,1803,0.244,[Kr] 4d10
Silver,47,Ag,107.86822,11,fcc,Transition Metal,1.3,1.8,1.93,7.5762,10.501,1234.15,2435,27,Prehistoric,,0.235,[Kr] 4d10 5s1
Cadmium,48,Cd,112.4118,12,hex,Transition Metal,0.97,1.7,1.69,8.9938,8.69,594.33,1040,22,Stromeyer,1817,0.232,[Kr] 4d10 5s2
Indium,49,In,114.8183,13,tet,Metal,0.8,2,1.78,5.7864,7.31,429.91,2345,34,Reich and Richter,1863,0.233,[Kr] 4d10 5s2 5p1
Tin,50,Sn,118.7107,14,tet,Metal,0.69,1.7,1.96,7.3439,7.287,505.21,2875,28,Prehistoric,,0.228,[Kr] 4d10 5s2 5p2
Antimony,51,Sb,121.7601,15,rho,Metalloid,0.76,1.5,2.05,8.6084,6.685,904.05,1860,29,Early historic times,,0.207,[Kr] 4d10 5s2 5p3
Tellurium,52,Te,127.603,16,hex,Metalloid,0.97,1.4,2.1,9.0096,6.232,722.8,1261,29, von Reichenstein,1782,0.202,[Kr] 4d10 5s2 5p4
Iodine,53,I,126.904473,17,orth,Halogen,2.2,1.3,2.66,10.4513,4.93,386.65,457.4,24,Courtois,1811,0.214,[Kr] 4d10 5s2 5p5
